vehicleId,lat,lng,dateStored,velocity,odometer,engineVoltage,dateStoredHuman,dateOnlyStoredHuman,timeOnly,orientation
15,37.5107283,22.38564,1729187926000,14.0,0.0,5.215,2024-10-17 20:58:46,2024-10-17,20:58:46,Southwest
15,37.5106249,22.385425,1729187936000,23.0,0.0,5.219,2024-10-17 20:58:56,2024-10-17,20:58:56,West
15,37.5105716,22.3851933,1729187940000,30.0,0.0,5.22,2024-10-17 20:59:00,2024-10-17,20:59:00,Southwest
15,37.5104616,22.38498,1729187943000,28.0,0.0,5.217,2024-10-17 20:59:03,2024-10-17,20:59:03,West
15,37.5104083,22.38476,1729187948000,22.0,0.0,5.214,2024-10-17 20:59:08,2024-10-17,20:59:08,Southwest
15,37.5103766,22.3846983,1729187949000,24.0,0.0,5.214,2024-10-17 20:59:09,2024-10-17,20:59:09,East
15,37.51096,22.3865933,1729195323000,15.0,0.0,5.217,2024-10-17 23:02:03,2024-10-17,23:02:03,West
15,37.5109433,22.3864633,1729195334000,7.0,0.0,5.219,2024-10-17 23:02:14,2024-10-17,23:02:14,Southwest
15,37.5109033,22.386425,1729195336000,9.0,0.0,5.22,2024-10-17 23:02:16,2024-10-17,23:02:16,West
15,37.5109316,22.3862533,1729195346000,18.0,0.0,5.222,2024-10-17 23:02:26,2024-10-17,23:02:26,North
15,37.5111366,22.3861666,1729195349000,26.0,0.0,5.219,2024-10-17 23:02:29,2024-10-17,23:02:29,North
15,37.5112666,22.3861349,1729195351000,24.0,0.0,5.216,2024-10-17 23:02:31,2024-10-17,23:02:31,Southeast
15,37.5104416,22.3870566,1729205754000,13.0,0.0,5.213,2024-10-18 01:55:54,2024-10-18,01:55:54,West
15,37.5105316,22.3866833,1729205768000,14.0,0.0,5.215,2024-10-18 01:56:08,2024-10-18,01:56:08,West
15,37.5106016,22.3864266,1729205770000,26.0,0.0,5.214,2024-10-18 01:56:10,2024-10-18,01:56:10,West
15,37.5106983,22.3861,1729205772000,39.0,0.0,5.214,2024-10-18 01:56:12,2024-10-18,01:56:12,West
15,37.51081,22.3857216,1729205776000,34.0,0.0,5.211,2024-10-18 01:56:16,2024-10-18,01:56:16,West
15,37.5108866,22.3852566,1729205782000,36.0,0.0,5.211,2024-10-18 01:56:22,2024-10-18,01:56:22,East
15,37.51068,22.3865033,1729235461000,23.0,0.0,5.211,2024-10-18 10:11:01,2024-10-18,10:11:01,West
15,37.5107033,22.386265,1729235467000,0.0,0.0,5.206,2024-10-18 10:11:07,2024-10-18,10:11:07,West
15,37.510875,22.385405,1729239407000,15.0,0.0,5.205,2024-10-18 11:16:47,2024-10-18,11:16:47,Northeast
15,37.5108983,22.3854283,1729239411000,8.0,0.0,5.203,2024-10-18 11:16:51,2024-10-18,11:16:51,Northeast
15,37.5109183,22.3854766,1729239413000,7.0,0.0,5.195,2024-10-18 11:16:53,2024-10-18,11:16:53,East
15,37.5109266,22.3855433,1729239414000,6.0,0.0,5.191,2024-10-18 11:16:54,2024-10-18,11:16:54,Northwest
15,37.5109683,22.3854583,1729239423000,7.0,0.0,5.208,2024-10-18 11:17:03,2024-10-18,11:17:03,West
15,37.5109183,22.3851633,1729239427000,23.0,0.0,5.205,2024-10-18 11:17:07,2024-10-18,11:17:07,West
15,37.5109516,22.3848933,1729239430000,28.0,0.0,5.202,2024-10-18 11:17:10,2024-10-18,11:17:10,Northwest
15,37.5110516,22.3846583,1729239435000,20.0,0.0,5.201,2024-10-18 11:17:15,2024-10-18,11:17:15,East
15,37.5110783,22.3872233,1729243848000,11.0,0.0,5.202,2024-10-18 12:30:48,2024-10-18,12:30:48,East
15,37.51109,22.3874633,1729243850000,9.0,0.0,5.202,2024-10-18 12:30:50,2024-10-18,12:30:50,Southeast
15,37.5109866,22.3877583,1729243852000,6.0,0.0,5.201,2024-10-18 12:30:52,2024-10-18,12:30:52,South
15,37.5107733,22.3877166,1729243869000,10.0,0.0,5.203,2024-10-18 12:31:09,2024-10-18,12:31:09,Southwest
15,37.5106983,22.3875,1729243873000,9.0,0.0,5.202,2024-10-18 12:31:13,2024-10-18,12:31:13,West
15,37.5106999,22.3874233,1729243875000,10.0,0.0,5.202,2024-10-18 12:31:15,2024-10-18,12:31:15,West
15,37.510705,22.38731,1729243877000,13.0,0.0,5.201,2024-10-18 12:31:17,2024-10-18,12:31:17,West
15,37.5108616,22.3862216,1729249280000,18.0,0.0,5.202,2024-10-18 14:01:20,2024-10-18,14:01:20,Northwest
15,37.510955,22.3860949,1729249285000,11.0,0.0,5.199,2024-10-18 14:01:25,2024-10-18,14:01:25,Northeast
15,37.5109866,22.3861816,1729249301000,6.0,0.0,5.202,2024-10-18 14:01:41,2024-10-18,14:01:41,Northwest
15,37.5110166,22.3861566,1729249306000,8.0,0.0,5.202,2024-10-18 14:01:46,2024-10-18,14:01:46,Southeast
15,37.51098,22.3862133,1729249309000,5.0,0.0,5.202,2024-10-18 14:01:49,2024-10-18,14:01:49,Southeast
15,37.5109566,22.3862333,1729252938000,13.0,0.0,5.202,2024-10-18 15:02:18,2024-10-18,15:02:18,South
15,37.5108766,22.3862183,1729252956000,11.0,0.0,5.202,2024-10-18 15:02:36,2024-10-18,15:02:36,Southeast
15,37.5108583,22.3862733,1729252967000,0.0,0.0,5.201,2024-10-18 15:02:47,2024-10-18,15:02:47,Southwest
15,37.5108033,22.38614,1729261503000,19.0,0.0,5.202,2024-10-18 17:25:03,2024-10-18,17:25:03,Northeast
15,37.5108433,22.3862033,1729261509000,11.0,0.0,5.193,2024-10-18 17:25:09,2024-10-18,17:25:09,Southeast
15,37.5106983,22.38634,1729261531000,7.0,0.0,5.202,2024-10-18 17:25:31,2024-10-18,17:25:31,East
15,37.5106999,22.38635,1729261532000,7.0,0.0,5.202,2024-10-18 17:25:32,2024-10-18,17:25:32,Northwest
15,37.510855,22.3860499,1729265171000,16.0,0.0,5.202,2024-10-18 18:26:11,2024-10-18,18:26:11,West
15,37.5108516,22.3857899,1729265175000,17.0,0.0,5.194,2024-10-18 18:26:15,2024-10-18,18:26:15,South
15,37.51083,22.3857949,1729265199000,0.0,0.0,5.202,2024-10-18 18:26:39,2024-10-18,18:26:39,East
15,37.51049,22.3869833,1729269025000,3.0,0.0,5.202,2024-10-18 19:30:25,2024-10-18,19:30:25,North
15,37.5107666,22.3868566,1729272658000,17.0,0.0,5.201,2024-10-18 20:30:58,2024-10-18,20:30:58,West
15,37.5107633,22.3866133,1729272663000,8.0,0.0,5.195,2024-10-18 20:31:03,2024-10-18,20:31:03,West
15,37.510795,22.3865033,1729272667000,6.0,0.0,5.197,2024-10-18 20:31:07,2024-10-18,20:31:07,West
15,37.5107916,22.3864766,1729272668000,6.0,0.0,5.198,2024-10-18 20:31:08,2024-10-18,20:31:08,West
15,37.5107683,22.3861783,1729272672000,16.0,0.0,5.193,2024-10-18 20:31:12,2024-10-18,20:31:12,West
15,37.5107883,22.3859383,1729272683000,23.0,0.0,5.199,2024-10-18 20:31:23,2024-10-18,20:31:23,West
15,37.5107766,22.3857916,1729272686000,13.0,0.0,5.196,2024-10-18 20:31:26,2024-10-18,20:31:26,East
15,37.5107116,22.3860499,1729279235000,14.0,0.0,5.201,2024-10-18 22:20:35,2024-10-18,22:20:35,West
15,37.5107166,22.3860299,1729279248000,6.0,0.0,5.194,2024-10-18 22:20:48,2024-10-18,22:20:48,West
15,37.5107066,22.3859933,1729279250000,6.0,0.0,5.197,2024-10-18 22:20:50,2024-10-18,22:20:50,Northwest
15,37.5107333,22.38595,1729279252000,10.0,0.0,5.197,2024-10-18 22:20:52,2024-10-18,22:20:52,West
15,37.5107649,22.3856983,1729279262000,28.0,0.0,5.198,2024-10-18 22:21:02,2024-10-18,22:21:02,West
15,37.5107633,22.385625,1729279263000,27.0,0.0,5.2,2024-10-18 22:21:03,2024-10-18,22:21:03,East
15,37.5108216,22.3859516,1729279623000,46.0,0.0,5.199,2024-10-18 22:27:03,2024-10-18,22:27:03,West
15,37.5108616,22.3856966,1729279625000,46.0,0.0,5.196,2024-10-18 22:27:05,2024-10-18,22:27:05,West
15,37.5107966,22.3854933,1729279648000,7.0,0.0,5.199,2024-10-18 22:27:28,2024-10-18,22:27:28,West
15,37.510805,22.3854533,1729279650000,8.0,0.0,5.197,2024-10-18 22:27:30,2024-10-18,22:27:30,Northwest
15,37.51081,22.38544,1729279652000,6.0,0.0,5.195,2024-10-18 22:27:32,2024-10-18,22:27:32,Northeast
15,37.51101,22.3860283,1729283282000,16.0,0.0,5.197,2024-10-18 23:28:02,2024-10-18,23:28:02,South
15,37.5109333,22.3860283,1729283286000,11.0,0.0,5.192,2024-10-18 23:28:06,2024-10-18,23:28:06,Southeast
15,37.5107883,22.3861583,1729283297000,6.0,0.0,5.198,2024-10-18 23:28:17,2024-10-18,23:28:17,Southwest
15,37.5107616,22.3861283,1729283301000,8.0,0.0,5.196,2024-10-18 23:28:21,2024-10-18,23:28:21,West
15,37.5108266,22.385865,1729283305000,11.0,0.0,5.193,2024-10-18 23:28:25,2024-10-18,23:28:25,Northwest
15,37.5110449,22.3855049,1729283311000,14.0,0.0,5.191,2024-10-18 23:28:31,2024-10-18,23:28:31,East
15,37.5110633,22.3862016,1729297633000,13.0,0.0,5.191,2024-10-19 03:27:13,2024-10-19,03:27:13,Southwest
15,37.5110333,22.3861666,1729297636000,9.0,0.0,5.191,2024-10-19 03:27:16,2024-10-19,03:27:16,East
15,37.5110333,22.3862316,1729297649000,6.0,0.0,5.19,2024-10-19 03:27:29,2024-10-19,03:27:29,Northwest
15,37.5110833,22.3861333,1729297652000,13.0,0.0,5.191,2024-10-19 03:27:32,2024-10-19,03:27:32,South
15,37.5110449,22.38615,1729297662000,0.0,0.0,5.19,2024-10-19 03:27:42,2024-10-19,03:27:42,Southwest
