id,type,name,building_type,coordinates
979886513,way,Unnamed School,school,"[{""lat"": 37.5154302, ""lon"": 22.3822599}, {""lat"": 37.5152883, ""lon"": 22.3821994}, {""lat"": 37.5151291, ""lon"": 22.3827687}, {""lat"": 37.5148585, ""lon"": 22.3827323}, {""lat"": 37.5148586, ""lon"": 22.3828324}, {""lat"": 37.515315, ""lon"": 22.3829119}, {""lat"": 37.5153369, ""lon"": 22.3828325}, {""lat"": 37.5153279, ""lon"": 22.3828273}, {""lat"": 37.5153462, ""lon"": 22.3827632}, {""lat"": 37.5152521, ""lon"": 22.382721}, {""lat"": 37.5153381, ""lon"": 22.3823998}, {""lat"": 37.5153861, ""lon"": 22.3824232}, {""lat"": 37.5154302, ""lon"": 22.3822599}]"
993460276,way,Unnamed School,school,"[{""lat"": 37.5001837, ""lon"": 22.3807792}, {""lat"": 37.5000886, ""lon"": 22.3808593}, {""lat"": 37.5000541, ""lon"": 22.3808884}, {""lat"": 37.4997083, ""lon"": 22.3811799}, {""lat"": 37.4997677, ""lon"": 22.3812918}, {""lat"": 37.5001046, ""lon"": 22.3810077}, {""lat"": 37.5001621, ""lon"": 22.3811159}, {""lat"": 37.5001947, ""lon"": 22.3810884}, {""lat"": 37.5001366, ""lon"": 22.3809789}, {""lat"": 37.5002424, ""lon"": 22.3808898}, {""lat"": 37.5001837, ""lon"": 22.3807792}]"
993460277,way,Unnamed School,school,"[{""lat"": 37.5000886, ""lon"": 22.3808593}, {""lat"": 37.5000581, ""lon"": 22.3808042}, {""lat"": 37.5001587, ""lon"": 22.3807181}, {""lat"": 37.4999525, ""lon"": 22.3803354}, {""lat"": 37.4998191, ""lon"": 22.3804496}, {""lat"": 37.4996134, ""lon"": 22.3806257}, {""lat"": 37.4996816, ""lon"": 22.3807525}, {""lat"": 37.4998827, ""lon"": 22.3805804}, {""lat"": 37.5000541, ""lon"": 22.3808884}, {""lat"": 37.5000886, ""lon"": 22.3808593}]"
993460278,way,Unnamed School,school,"[{""lat"": 37.4998191, ""lon"": 22.3804496}, {""lat"": 37.4999525, ""lon"": 22.3803354}, {""lat"": 37.4997065, ""lon"": 22.3798607}, {""lat"": 37.4992329, ""lon"": 22.3802671}, {""lat"": 37.4994334, ""lon"": 22.3806383}, {""lat"": 37.4997666, ""lon"": 22.3803524}, {""lat"": 37.4998191, ""lon"": 22.3804496}]"
993510807,way,Unnamed School,school,"[{""lat"": 37.5055671, ""lon"": 22.3911827}, {""lat"": 37.5057099, ""lon"": 22.3912477}, {""lat"": 37.5056648, ""lon"": 22.3914053}, {""lat"": 37.5056235, ""lon"": 22.3913865}, {""lat"": 37.5056022, ""lon"": 22.3914609}, {""lat"": 37.5056452, ""lon"": 22.3914805}, {""lat"": 37.5055877, ""lon"": 22.3916811}, {""lat"": 37.5054432, ""lon"": 22.3916153}, {""lat"": 37.5055671, ""lon"": 22.3911827}]"
979886514,way,Unnamed School,school,"[{""lat"": 37.5155027, ""lon"": 22.3821199}, {""lat"": 37.5153608, ""lon"": 22.382057}, {""lat"": 37.5153223, ""lon"": 22.3821951}, {""lat"": 37.5154643, ""lon"": 22.382258}, {""lat"": 37.5155027, ""lon"": 22.3821199}]"
983700927,way,Unnamed School,school,"[{""lat"": 37.5167362, ""lon"": 22.3728376}, {""lat"": 37.5165442, ""lon"": 22.3727838}, {""lat"": 37.5164961, ""lon"": 22.3730563}, {""lat"": 37.5164498, ""lon"": 22.3730406}, {""lat"": 37.5162635, ""lon"": 22.3729196}, {""lat"": 37.5160898, ""lon"": 22.3733043}, {""lat"": 37.5162396, ""lon"": 22.3734197}, {""lat"": 37.5163637, ""lon"": 22.3731494}, {""lat"": 37.5164201, ""lon"": 22.373179}, {""lat"": 37.5164722, ""lon"": 22.373195}, {""lat"": 37.516418, ""lon"": 22.3734993}, {""lat"": 37.5166101, ""lon"": 22.3735531}, {""lat"": 37.5167362, ""lon"": 22.3728376}]"
983700926,way,Unnamed School,school,"[{""lat"": 37.5169236, ""lon"": 22.3735752}, {""lat"": 37.5167098, ""lon"": 22.3736509}, {""lat"": 37.5168202, ""lon"": 22.3741465}, {""lat"": 37.5170339, ""lon"": 22.3740708}, {""lat"": 37.5169236, ""lon"": 22.3735752}]"
1013526281,way,Unnamed School,school,"[{""lat"": 37.5253254, ""lon"": 22.3717273}, {""lat"": 37.5251821, ""lon"": 22.3717006}, {""lat"": 37.525162, ""lon"": 22.3718721}, {""lat"": 37.5253053, ""lon"": 22.3718988}, {""lat"": 37.5253254, ""lon"": 22.3717273}]"
1013526280,way,Unnamed School,school,"[{""lat"": 37.5255959, ""lon"": 22.3711195}, {""lat"": 37.5254526, ""lon"": 22.3710956}, {""lat"": 37.5254296, ""lon"": 22.3713146}, {""lat"": 37.5254774, ""lon"": 22.3713225}, {""lat"": 37.5254681, ""lon"": 22.3714115}, {""lat"": 37.5254294, ""lon"": 22.3714051}, {""lat"": 37.5254213, ""lon"": 22.371482}, {""lat"": 37.5254603, ""lon"": 22.3714885}, {""lat"": 37.5254508, ""lon"": 22.3715781}, {""lat"": 37.5254172, ""lon"": 22.3715725}, {""lat"": 37.5254103, ""lon"": 22.3716378}, {""lat"": 37.5254499, ""lon"": 22.3716444}, {""lat"": 37.5254425, ""lon"": 22.3717142}, {""lat"": 37.5253409, ""lon"": 22.3716972}, {""lat"": 37.52532, ""lon"": 22.3718959}, {""lat"": 37.5253901, ""lon"": 22.3719076}, {""lat"": 37.5253732, ""lon"": 22.3720691}, {""lat"": 37.5254941, ""lon"": 22.3720893}, {""lat"": 37.5255959, ""lon"": 22.3711195}]"
1013526279,way,Unnamed School,school,"[{""lat"": 37.5257514, ""lon"": 22.371809}, {""lat"": 37.5255581, ""lon"": 22.3717797}, {""lat"": 37.5255273, ""lon"": 22.372103}, {""lat"": 37.5257207, ""lon"": 22.3721323}, {""lat"": 37.5257514, ""lon"": 22.371809}]"
1013526278,way,Unnamed School,school,"[{""lat"": 37.5258081, ""lon"": 22.3712095}, {""lat"": 37.5256104, ""lon"": 22.3711793}, {""lat"": 37.5255629, ""lon"": 22.3716739}, {""lat"": 37.5257605, ""lon"": 22.371704}, {""lat"": 37.5258081, ""lon"": 22.3712095}]"
1013526282,way,Unnamed School,school,"[{""lat"": 37.5251945, ""lon"": 22.3713804}, {""lat"": 37.5250617, ""lon"": 22.3713534}, {""lat"": 37.5249957, ""lon"": 22.3718705}, {""lat"": 37.5251286, ""lon"": 22.3718974}, {""lat"": 37.5251945, ""lon"": 22.3713804}]"
